teamid,season,player_id,player,birth_date,height,leagueid,num,position,weight,age,exp,school,team_players
1610612737,1994,246,Greg Anderson,1964-06-22,6.833333333333333,00,22,F,230,31,6,Houston,15
1610612737,1994,278,Stacey Augmon,1968-08-01,6.666666666666667,00,2,G-F,205,26,3,Nevada-Las Vegas,15
1610612737,1994,76128,Sergei Bazarevich,1965-03-15,6.166666666666667,00,5,G,168,30,0,NA,15
1610612737,1994,302,Mookie Blaylock,1967-03-20,6,00,10,G,180,28,5,Oklahoma,15
1610612737,1994,895,Tyrone Corbin,1962-12-31,6.5,00,33,F,210,32,9,DePaul,15
1610612737,1994,346,Doug Edwards,1971-01-21,6.583333333333333,00,34,F,220,24,1,Florida State,15
1610612737,1994,378,Craig Ehlo,1961-08-11,6.5,00,3,G,180,33,11,Washington State,15
1610612737,1994,77064,Tom Hovasse,1967-01-31,6.666666666666667,00,17,F,205,28,0,Penn State,15
1610612737,1994,402,Jon Koncak,1963-05-17,7,00,32,C,250,32,9,Southern Methodist,15
1610612737,1994,457,Andrew Lang,1966-06-28,6.916666666666667,00,28,C,245,29,6,Arkansas,15
1610612737,1995,278,Stacey Augmon,1968-08-01,6.666666666666667,00,2,F-G,205,27,4,Nevada-Las Vegas,14
1610612737,1995,80,Ken Norman,1964-09-05,6.666666666666667,00,3,F,228,31,8,Illinois,14
1610612737,1995,378,Craig Ehlo,1961-08-11,6.583333333333333,00,3,G,205,34,12,Washington State,14
1610612737,1995,1118,Tim Kempton,1964-01-25,6.833333333333333,00,7,C,245,32,5,Notre Dame,14
1610612737,1995,120,Steven Smith,1969-03-31,6.666666666666667,00,8,G,215,27,4,Michigan State,14
1610612737,1995,302,Mookie Blaylock,1967-03-20,6.083333333333333,00,10,G,185,29,6,Oklahoma,14
1610612737,1995,77690,Howard Nathan,1972-01-21,5.916666666666667,00,14,G,175,24,0,Louisiana-Monroe,14
1610612737,1995,674,Reggie Jordan,1968-01-26,6.333333333333333,00,22,G,195,28,1,New Mexico State,14
1610612737,1995,671,Donnie Boyce,1973-09-02,6.416666666666667,00,24,G,195,22,0,Colorado,14
1610612737,1995,363,Christian Laettner,1969-08-17,6.916666666666667,00,32,C-F,245,26,3,Duke,14
1610612737,1996,695,Eldridge Recasner,1967-12-14,6.333333333333333,00,5,G,190,29,2,Washington,12
1610612737,1996,120,Steven Smith,1969-03-31,6.666666666666667,00,8,G,215,28,5,Michigan State,12
1610612737,1996,302,Mookie Blaylock,1967-03-20,6.083333333333333,00,10,G,185,30,7,Oklahoma,12
1610612737,1996,968,Priest Lauderdale,1973-08-31,7.333333333333333,00,15,C,343,23,0,Central State (OH),12
1610612737,1996,468,Jon Barry,1969-07-25,6.416666666666667,00,17,G,205,27,4,Georgia Tech,12
1610612737,1996,1096,Ivano Newbill,1970-12-12,6.833333333333333,00,28,F,245,26,1,Georgia Tech,12
1610612737,1996,363,Christian Laettner,1969-08-17,6.916666666666667,00,32,F,245,27,4,Duke,12
1610612737,1996,895,Tyrone Corbin,1962-12-31,6.5,00,33,F,225,34,11,DePaul,12
1610612737,1996,241,Darrin Hancock,1971-11-03,6.583333333333333,00,35,F,205,25,2,Kansas,12
1610612737,1996,1080,Henry James,1965-07-29,6.666666666666667,00,42,F,220,31,5,St. Mary's (TX),12
1610612737,1997,246,Greg Anderson,1964-06-22,6.833333333333333,00,0,C-F,250,34,9,Houston,12
1610612737,1997,292,Anthony Miller,1971-10-22,6.75,00,2,F,255,26,3,Michigan State,12
1610612737,1997,695,Eldridge Recasner,1967-12-14,6.333333333333333,00,3,G,190,30,3,Washington,12
1610612737,1997,1544,Chris Crawford,1975-05-13,6.75,00,4,F,235,23,0,Marquette,12
1610612737,1997,120,Steven Smith,1969-03-31,6.666666666666667,00,8,G,221,29,6,Michigan State,12
1610612737,1997,302,Mookie Blaylock,1967-03-20,6.083333333333333,00,10,G,185,31,8,Oklahoma,12
1610612737,1997,1003,Drew Barry,1973-02-17,6.416666666666667,00,11,G,191,25,0,Georgia Tech,12
1610612737,1997,363,Christian Laettner,1969-08-17,6.916666666666667,00,32,F-C,245,28,5,Duke,12
1610612737,1997,895,Tyrone Corbin,1962-12-31,6.5,00,33,F,225,35,12,DePaul,12
1610612737,1997,673,Alan Henderson,1972-12-02,6.75,00,44,F,235,25,2,Indiana,12
1610612737,1998,1544,Chris Crawford,1975-05-13,6.75,00,4,F,235,24,1,Marquette,11
1610612737,1998,1728,Roshown McLeod,1975-11-17,6.666666666666667,00,7,F,220,23,0,Duke,11
1610612737,1998,120,Steven Smith,1969-03-31,6.666666666666667,00,8,G,215,30,7,Michigan State,11
1610612737,1998,302,Mookie Blaylock,1967-03-20,6.083333333333333,00,10,G,185,32,9,Oklahoma,11
1610612737,1998,1516,Ed Gray,1975-09-27,6.25,00,22,G,210,23,1,California,11
1610612737,1998,1533,Anthony Johnson,1974-10-02,6.25,00,24,G,190,24,1,College of Charleston,11
1610612737,1998,895,Tyrone Corbin,1962-12-31,6.5,00,33,G-F,225,36,13,DePaul,11
1610612737,1998,770,Mark West,1960-11-05,6.833333333333333,00,41,C,246,38,15,Old Dominion,11
1610612737,1998,3,Grant Long,1966-03-12,6.75,00,43,F,248,33,10,Eastern Michigan,11
1610612737,1998,673,Alan Henderson,1972-12-02,6.75,00,44,F,235,26,3,Indiana,11
1610612737,1999,1898,Cal Bowdler,1977-03-31,6.833333333333333,00,3,F,245,23,0,Old Dominion,12
1610612737,1999,1544,Chris Crawford,1975-05-13,6.75,00,4,F,235,25,2,Marquette,12
1610612737,1999,1901,Dion Glover,1978-10-22,6.416666666666667,00,5,G,228,21,0,Georgia Tech,12
1610612737,1999,1728,Roshown McLeod,1975-11-17,6.666666666666667,00,7,F,221,24,1,Duke,12
1610612737,1999,1003,Drew Barry,1973-02-17,6.416666666666667,00,10,G,191,27,2,Georgia Tech,12
1610612737,1999,902,Bimbo Coles,1968-04-22,6.166666666666667,00,12,G,182,32,9,Virginia Tech,12
1610612737,1999,111,LaPhonso Ellis,1970-05-05,6.666666666666667,00,20,F,240,30,7,Notre Dame,12
1610612737,1999,754,Jim Jackson,1970-10-14,6.5,00,22,G,220,29,7,Ohio State,12
1610612737,1999,1891,Jason Terry,1977-09-15,6.166666666666667,00,31,G,172,22,0,Arizona,12
1610612737,1999,953,Lorenzen Wright,1975-11-04,6.916666666666667,00,42,C-F,240,24,3,Memphis,12
1610612737,2000,2035,DerMarr Johnson,1980-05-05,6.75,00,1,F,201,21,0,Cincinnati,12
1610612737,2000,1737,Nazr Mohammed,1977-09-05,6.833333333333333,00,2,C,240,23,2,Kentucky,12
1610612737,2000,1898,Cal Bowdler,1977-03-31,6.833333333333333,00,3,F,245,24,1,Old Dominion,12
1610612737,2000,1544,Chris Crawford,1975-05-13,6.75,00,4,F,235,26,3,Marquette,12
1610612737,2000,1901,Dion Glover,1978-10-22,6.416666666666667,00,5,G,228,22,1,Georgia Tech,12
1610612737,2000,389,Toni Kukoc,1968-09-18,6.916666666666667,00,7,F,235,32,7,Croatia,12
1610612737,2000,1074,Matt Maloney,1971-12-06,6.25,00,12,G,200,29,4,Pennsylvania,12
1610612737,2000,2069,Hanno Mottola,1976-09-09,6.916666666666667,00,13,F,247,24,0,Utah,12
1610612737,2000,1510,Brevin Knight,1975-11-08,5.833333333333333,00,22,G,170,25,3,Stanford,12
1610612737,2000,1891,Jason Terry,1977-09-15,6.166666666666667,00,31,G,172,23,1,Arizona,12
1610612737,2001,2035,DerMarr Johnson,1980-05-05,6.75,00,1,G-F,201,22,1,Cincinnati,13
1610612737,2001,1737,Nazr Mohammed,1977-09-05,6.833333333333333,00,2,C,250,24,3,Kentucky,13
1610612737,2001,949,Shareef Abdur-Rahim,1976-12-11,6.75,00,3,F,230,25,5,California,13
1610612737,2001,1901,Dion Glover,1978-10-22,6.416666666666667,00,5,F-G,228,23,2,Georgia Tech,13
1610612737,2001,1898,Cal Bowdler,1977-03-31,6.833333333333333,00,6,F,253,25,2,Old Dominion,13
1610612737,2001,389,Toni Kukoc,1968-09-18,6.916666666666667,00,7,F,235,33,8,Croatia,13
1610612737,2001,1521,Jacque Vaughn,1975-02-11,6.083333333333333,00,11,G,190,27,4,Kansas,13
1610612737,2001,2069,Hanno Mottola,1976-09-09,6.916666666666667,00,13,C-F,247,25,1,Utah,13
1610612737,2001,1956,Ira Newble,1975-01-20,6.583333333333333,00,14,F,215,27,1,Miami (OH),13
1610612737,2001,1110,Mark Strickland,1970-07-14,6.833333333333333,00,30,F,220,31,6,Temple,13
1610612737,2002,1737,Nazr Mohammed,1977-09-05,6.833333333333333,00,2,C,250,25,4,Kentucky,16
1610612737,2002,949,Shareef Abdur-Rahim,1976-12-11,6.75,00,3,F,240,26,6,California,16
1610612737,2002,176,Antonio Harvey,1970-07-06,6.916666666666667,00,4,F-C,250,32,7,Pfeiffer,16
1610612737,2002,1544,Chris Crawford,1975-05-13,6.75,00,4,F,235,28,5,Marquette,16
1610612737,2002,1901,Dion Glover,1978-10-22,6.416666666666667,00,5,F-G,228,24,3,Georgia Tech,16
1610612737,2002,2466,Maurice Carter,1976-10-12,6.416666666666667,00,7,G,210,26,0,Louisiana State,16
1610612737,2002,1032,Darvin Ham,1973-07-23,6.583333333333333,00,8,F-G,230,29,5,Texas Tech,16
1610612737,2002,2424,Dan Dickau,1978-09-16,6,00,12,G,190,24,0,Gonzaga,16
1610612737,2002,299,Glenn Robinson,1973-01-10,6.583333333333333,00,13,F,230,30,8,Purdue,16
1610612737,2002,1956,Ira Newble,1975-01-20,6.583333333333333,00,14,F,220,28,2,Miami (OH),16
1610612737,2003,1536,Stephen Jackson,1978-04-05,6.666666666666667,00,1,F,218,26,3,Butler Community College,15
1610612737,2003,682,Bob Sura,1973-03-25,6.416666666666667,00,3,G,200,31,8,Florida State,15
1610612737,2003,1544,Chris Crawford,1975-05-13,6.75,00,4,F,235,29,6,Marquette,15
1610612737,2003,2580,Travis Hansen,1978-04-15,6.5,00,6,G-F,205,26,0,Brigham Young,15
1610612737,2003,445,Wesley Person,1971-03-28,6.5,00,7,G-F,200,33,9,Auburn,15
1610612737,2003,2038,Joel Przybilla,1979-10-10,7.083333333333333,00,10,C,255,24,3,Minnesota,15
1610612737,2003,1521,Jacque Vaughn,1975-02-11,6.083333333333333,00,11,G,190,29,6,Kansas,15
1610612737,2003,1442,Zeljko Rebraca,1972-04-09,7,00,12,C,257,32,2,Yugoslavia,15
1610612737,2003,1918,Obinna Ekezie,1975-08-22,6.75,00,14,F-C,270,28,3,Maryland,15
1610612737,2003,1891,Jason Terry,1977-09-15,6.166666666666667,00,31,G,180,26,4,Arizona,15
1610612737,2004,960,Tony Delk,1974-01-28,6.166666666666667,00,0,G,189,31,8,Kentucky,13
1610612737,2004,2735,Josh Childress,1983-06-20,6.666666666666667,00,1,G-F,210,22,0,Stanford,13
1610612737,2004,1733,Al Harrington,1980-02-17,6.75,00,3,F,250,25,6,St. Patrick's HS (NJ),13
1610612737,2004,2746,Josh Smith,1985-12-05,6.75,00,5,G-F,225,19,0,Oak Hill Academy (VA),13
1610612737,2004,339,Tom Gugliotta,1969-12-19,6.833333333333333,00,7,F,250,35,12,North Carolina State,13
1610612737,2004,1731,Tyronn Lue,1977-05-03,6,00,10,G,178,28,6,Nebraska,13
1610612737,2004,2564,Boris Diaw,1982-04-16,6.666666666666667,00,13,G,215,23,1,"Cormeille-en-Parisis, France",13
1610612737,2004,1542,Predrag Drobnjak,1975-10-27,6.916666666666667,00,14,C,270,29,3,Yugoslavia,13
1610612737,2004,2764,Donta Smith,1983-11-27,6.583333333333333,00,15,G,215,21,0,Southeastern Illinois,13
1610612737,2004,2767,Royal Ivey,1981-12-20,6.25,00,36,G,200,23,0,Texas,13
1610612737,2005,2735,Josh Childress,1983-06-20,6.666666666666667,00,1,F-G,210,23,1,Stanford,13
1610612737,2005,2207,Joe Johnson,1981-06-29,6.583333333333333,00,2,G,230,25,4,Arkansas,13
1610612737,2005,1733,Al Harrington,1980-02-17,6.75,00,3,F,245,26,7,St. Patrick's HS (NJ),13
1610612737,2005,2746,Josh Smith,1985-12-05,6.75,00,5,F,225,20,1,Oak Hill Academy (VA),13
1610612737,2005,1731,Tyronn Lue,1977-05-03,6,00,10,G,178,29,7,Nebraska,13
1610612737,2005,101212,Esteban Batista,1983-09-02,6.833333333333333,00,11,F-C,270,22,0,Uruguay,13
1610612737,2005,2764,Donta Smith,1983-11-27,6.583333333333333,00,15,G,215,22,1,Southeastern Illinois,13
1610612737,2005,101219,Anthony Grundy,1979-04-15,6.25,00,16,G,185,27,0,North Carolina State,13
1610612737,2005,101136,Salim Stoudamire,1982-10-11,6.083333333333333,00,20,G,179,23,0,Arizona,13
1610612737,2005,101107,Marvin Williams,1986-06-19,6.75,00,24,F,230,20,0,North Carolina,13
1610612737,2006,2735,Josh Childress,1983-06-20,6.666666666666667,00,1,G-F,210,24,2,Stanford,15
1610612737,2006,2207,Joe Johnson,1981-06-29,6.583333333333333,00,2,G-F,235,26,5,Arkansas,15
1610612737,2006,2098,Slava Medvedenko,1979-04-04,6.833333333333333,00,3,F,253,28,6,Ukraine,15
1610612737,2006,2746,Josh Smith,1985-12-05,6.75,00,5,F,235,21,2,Oak Hill Academy (VA),15
1610612737,2006,1533,Anthony Johnson,1974-10-02,6.25,00,8,G,195,32,9,College of Charleston,15
1610612737,2006,1731,Tyronn Lue,1977-05-03,6,00,10,G,175,30,8,Nebraska,15
1610612737,2006,101212,Esteban Batista,1983-09-02,6.833333333333333,00,11,F-C,268,23,1,Uruguay,15
1610612737,2006,2049,Speedy Claxton,1978-05-08,5.916666666666667,00,12,G,170,29,5,Hofstra,15
1610612737,2006,101136,Salim Stoudamire,1982-10-11,6.083333333333333,00,20,G,175,24,1,Arizona,15
1610612737,2006,101107,Marvin Williams,1986-06-19,6.75,00,24,F,230,21,1,North Carolina,15
1610612737,2007,2735,Josh Childress,1983-06-20,6.666666666666667,00,1,G-F,210,25,3,Stanford,13
1610612737,2007,2207,Joe Johnson,1981-06-29,6.583333333333333,00,2,G,235,27,6,Arkansas,13
1610612737,2007,201151,Acie Law,1985-01-25,6.25,00,4,G,195,23,0,Texas A&M,13
1610612737,2007,2746,Josh Smith,1985-12-05,6.75,00,5,F,235,22,3,Oak Hill Academy (VA),13
1610612737,2007,201238,Mario West,1984-06-19,6.416666666666667,00,6,G,210,24,0,Georgia Tech,13
1610612737,2007,1710,Mike Bibby,1978-05-13,6.083333333333333,00,10,G,190,30,9,Arizona,13
1610612737,2007,2049,Speedy Claxton,1978-05-08,6.083333333333333,00,12,G,170,30,6,Hofstra,13
1610612737,2007,201143,Al Horford,1986-06-03,6.833333333333333,00,15,C-F,245,22,0,Florida,13
1610612737,2007,101136,Salim Stoudamire,1982-10-11,6.083333333333333,00,20,G,175,25,2,Arizona,13
1610612737,2007,101107,Marvin Williams,1986-06-19,6.75,00,24,F,230,22,2,North Carolina,13
1610612737,2008,2230,Maurice Evans,1978-11-08,6.416666666666667,00,1,F-G,220,30,5,Texas,15
1610612737,2008,2207,Joe Johnson,1981-06-29,6.583333333333333,00,2,G,240,28,7,Arkansas,15
1610612737,2008,201242,Thomas Gardner,1985-02-08,6.416666666666667,00,3,G,225,24,1,Missouri,15
1610612737,2008,201151,Acie Law,1985-01-25,6.25,00,4,G,202,24,1,Texas A&M,15
1610612737,2008,2746,Josh Smith,1985-12-05,6.75,00,5,F,240,23,4,Oak Hill Academy (VA),15
1610612737,2008,201238,Mario West,1984-06-19,6.416666666666667,00,6,G,210,25,1,Georgia Tech,15
1610612737,2008,1710,Mike Bibby,1978-05-13,6.166666666666667,00,10,G,195,31,10,Arizona,15
1610612737,2008,2049,Speedy Claxton,1978-05-08,5.916666666666667,00,12,G,170,31,6,Hofstra,15
1610612737,2008,201143,Al Horford,1986-06-03,6.833333333333333,00,15,C-F,245,23,1,Florida,15
1610612737,2008,2436,Flip Murray,1979-07-29,6.25,00,22,G,200,29,6,Shaw,15
1610612737,2009,201952,Jeff Teague,1988-06-10,6.166666666666667,00,0,G,180,22,0,Wake Forest,13
1610612737,2009,2230,Maurice Evans,1978-11-08,6.416666666666667,00,1,G-F,220,31,6,Texas,13
1610612737,2009,2207,Joe Johnson,1981-06-29,6.583333333333333,00,2,G,240,29,8,Arkansas,13
1610612737,2009,2746,Josh Smith,1985-12-05,6.75,00,5,F,240,24,5,Oak Hill Academy (VA),13
1610612737,2009,201238,Mario West,1984-06-19,6.416666666666667,00,6,G,210,26,2,Georgia Tech,13
1610612737,2009,1710,Mike Bibby,1978-05-13,6.166666666666667,00,10,G,195,32,11,Arizona,13
1610612737,2009,2037,Jamal Crawford,1980-03-20,6.416666666666667,00,11,G,200,30,9,Michigan,13
1610612737,2009,201143,Al Horford,1986-06-03,6.833333333333333,00,15,C,245,24,2,Florida,13
1610612737,2009,101107,Marvin Williams,1986-06-19,6.75,00,24,F,240,24,4,North Carolina,13
1610612737,2009,2585,Zaza Pachulia,1984-02-10,6.916666666666667,00,27,C-F,275,26,6,"Tbilisi, Georgia",13
1610612737,2010,201952,Jeff Teague,1988-06-10,6.166666666666667,00,0,G,180,23,1,Wake Forest,15
1610612737,2010,2207,Joe Johnson,1981-06-29,6.583333333333333,00,2,G,240,30,9,Arkansas,15
